fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label,NLOS
17442,18524,18109,48,49152,1048,747.704,-79.948,-81.873,1.925,1.024078151,10786,10969.41142,-183.4114245,0,LOS
15902,16878,16291,40,18432,1051,745.584,-79.901,-81.777,1.876,1.023479055,10801,10969.41142,-168.4114245,0,LOS
15693,17078,11315,48,12288,1020,748.8,-79.997,-82.899,2.902,1.03627636,10780,10969.41142,-189.4114245,0,LOS
17418,18170,13887,52,7936,1050,744.52,-79.869,-81.519,1.65,1.020658829,10855,10969.41142,-114.4114245,0,LOS
17251,17790,16244,52,4096,1051,748.768,-78.102,-80.003,1.901,1.024339966,10819,10969.41142,-150.4114245,0,LOS
17693,16171,9539,44,63744,1021,747.744,-78.007,-82.8,4.793,1.061443204,10829,10969.41142,-140.4114245,0,LOS
16504,17362,13013,52,58880,1051,743.48,-79.98,-81.408,1.428,1.017854464,10855,10969.41142,-114.4114245,0,LOS
16561,17365,12858,56,59136,1020,747.736,-78.005,-81.428,3.423,1.043881802,10830,10969.41142,-139.4114245,0,LOS
17432,17728,15372,44,54528,1051,747.704,-79.931,-81.633,1.702,1.021293366,10799,10969.41142,-170.4114245,0,LOS
17978,16671,10320,52,46592,1050,746.672,-79.969,-82.971,3.002,1.037539547,10819,10969.41142,-150.4114245,0,LOS
17413,17758,14276,60,39936,1020,746.648,-79.858,-81.467,1.609,1.020148263,10793,10969.41142,-176.4114245,0,LOS
17754,18564,16767,44,35584,1051,746.648,-79.881,-81.777,1.896,1.023735306,10811,10969.41142,-158.4114245,0,LOS
17247,16888,17398,60,34560,1021,746.64,-79.855,-81.634,1.779,1.022277879,10792,10969.41142,-177.4114245,0,LOS
16845,15991,12083,44,26112,1051,741.352,-79.895,-82.992,3.097,1.038763377,10806,10969.41142,-163.4114245,0,LOS
16731,15791,12780,48,24832,1021,745.608,-79.827,-81.005,1.178,1.014756912,10831,10969.41142,-138.4114245,0,LOS
17116,17941,15096,52,22784,1052,745.584,-78.052,-81.825,3.773,1.048339568,10793,10969.41142,-176.4114245,0,LOS
15745,17142,14392,52,22016,1020,749.832,-79.913,-81.441,1.528,1.019120794,10832,10969.41142,-137.4114245,0,LOS
15340,16811,14203,48,23040,1022,745.584,-79.895,-81.3,1.405,1.017585581,10800,10969.41142,-169.4114245,0,LOS
17782,18447,16683,56,19968,1052,749.84,-79.927,-81.749,1.822,1.022795801,10802,10969.41142,-167.4114245,0,LOS
16757,18029,14930,52,20480,1021,745.576,-78.013,-81.72,3.707,1.047517721,10854,10969.41142,-115.4114245,0,LOS
18303,18502,12070,52,12800,1051,748.8,-79.878,-81.196,1.318,1.016500163,10774,10969.41142,-195.4114245,0,LOS
17039,17702,15125,52,6144,1052,744.52,-78.141,-81.868,3.727,1.047695832,10781,10969.41142,-188.4114245,0,LOS
15665,17386,14380,56,4096,1021,748.768,-79.792,-81.376,1.584,1.019851614,10847,10969.41142,-122.4114245,0,LOS
16635,17331,13045,52,58880,1051,743.48,-78.128,-81.497,3.369,1.043121544,10858,10969.41142,-111.4114245,0,LOS
16849,17613,14628,52,56064,1052,747.712,-79.956,-81.643,1.687,1.021099105,10793,10969.41142,-176.4114245,0,LOS
17376,18040,16326,56,36096,1051,746.648,-79.996,-81.86,1.864,1.023301165,10819,10969.41142,-150.4114245,0,LOS
17290,17948,15465,48,22016,1021,745.576,-79.946,-81.819,1.873,1.023428314,10824,10969.41142,-145.4114245,0,LOS
16543,16518,15561,52,5376,1052,748.768,-78.049,-81.537,3.488,1.044689874,10788,10969.41142,-181.4114245,0,LOS
17225,15364,9113,40,47360,1051,746.68,-79.916,-82.656,2.74,1.034286,10800,10969.41142,-169.4114245,0,LOS
17114,17459,15817,56,21504,1021,745.576,-78.005,-81.662,3.657,1.04688161,10819,10969.41142,-150.4114245,0,LOS
16219,17321,14526,40,6656,1052,748.776,-79.965,-81.617,1.652,1.020659038,10771,10969.41142,-198.4114245,0,LOS
17118,17714,12898,48,43008,1051,746.68,-79.903,-81.324,1.421,1.017784063,10789,10969.41142,-180.4114245,0,LOS
17760,18222,11021,48,31232,1052,741.36,-78.001,-81.269,3.268,1.041896899,10869,10969.41142,-100.4114245,0,LOS
17809,18604,16218,52,20480,1021,745.576,-79.938,-81.8,1.862,1.023293052,10868,10969.41142,-101.4114245,0,LOS
16451,16609,15980,52,4096,1051,748.768,-78.006,-81.577,3.571,1.04577853,10779,10969.41142,-190.4114245,0,LOS
17725,18581,15639,44,54272,1021,747.704,-79.995,-81.785,1.79,1.022376399,10821,10969.41142,-148.4114245,0,LOS
17089,17728,16134,44,35584,1020,746.648,-78.054,-81.82,3.766,1.048248648,10827,10969.41142,-142.4114245,0,LOS
16727,17202,12419,44,27136,1021,749.872,-79.966,-81.297,1.331,1.016644574,10821,10969.41142,-148.4114245,0,LOS
17025,17815,16874,60,17920,1051,745.576,-78.05,-81.945,3.895,1.049903908,10839,10969.41142,-130.4114245,0,LOS
17676,18555,17284,52,18176,1020,749.832,-78.059,-81.995,3.936,1.050423398,10823,10969.41142,-146.4114245,0,LOS
16606,15962,13770,40,6912,1021,744.52,-79.841,-81.142,1.301,1.016294886,10774,10969.41142,-195.4114245,0,LOS
16205,17609,14277,52,4352,1051,748.768,-79.983,-81.598,1.615,1.020191791,10870,10969.41142,-99.4114245,0,LOS
16067,17271,14827,40,5888,1020,744.512,-79.908,-81.597,1.689,1.021136807,10796,10969.41142,-173.4114245,0,LOS
15655,16534,15832,52,3584,1021,748.776,-78.044,-81.687,3.643,1.046678797,10812,10969.41142,-157.4114245,0,LOS
16511,17102,16799,56,1536,1051,744.512,-79.88,-81.88,2,1.025037556,10772,10969.41142,-197.4114245,0,LOS
15616,16491,15972,44,3328,1020,748.776,-78.05,-81.697,3.647,1.046726457,10803,10969.41142,-166.4114245,0,LOS
16972,17724,15285,44,5632,1021,744.512,-79.929,-81.757,1.828,1.022870297,10823,10969.41142,-146.4114245,0,LOS
17715,18550,16081,60,4352,1051,748.768,-78.111,-81.907,3.796,1.048597509,10844,10969.41142,-125.4114245,0,LOS
